"author","timestamp","sha","tools"
"","2019-03-15 10:07:58+00:00","bd08de1",""
"","2019-03-15 10:08:54+00:00","2a48fa2",""
"","2019-03-15 10:12:56+00:00","41306ed",""
"","2019-03-15 10:25:51+00:00","a25cd8c",""
"","2019-03-15 10:27:53+00:00","e5094f1",""
"","2019-03-15 10:39:03+00:00","b6ced9b",""
"","2019-03-15 12:03:14+00:00","78a0f3c",""
"","2019-03-15 18:45:26+00:00","39f221e",""
"","2019-03-15 21:54:28+00:00","f40dee0",""
"","2019-03-16 10:20:24+00:00","eeaed4c",""
"","2019-03-16 11:55:06+00:00","943ae49",""
"","2019-03-28 21:45:33+00:00","82e9345",""
"","2019-03-29 07:32:09+00:00","38c3677",""
"","2019-03-29 07:51:34+00:00","3763435",""
"","2019-04-14 08:38:43+00:00","b88b582",""
"","2019-04-14 08:43:31+00:00","defea79",""
"","2019-04-14 08:48:35+00:00","be2fa53",""
"","2019-04-14 08:50:12+00:00","14e601a",""
"","2019-04-15 17:24:18+00:00","99ce5f5",""
"","2019-04-15 20:25:42+00:00","aaa3658",""
"bgruening","2019-04-18 23:33:37+00:00","bd8fa49","[]"
"bgruening","2019-04-19 10:11:05+00:00","4c03268","[]"
"bgruening","2019-04-19 10:13:11+00:00","7224a84","[]"
"bgruening","2019-04-19 10:17:57+00:00","7f4b8d7","[]"
"","2019-04-19 11:17:58+00:00","51ba8e2",""
"","2019-04-19 11:32:18+00:00","3b31261",""
"","2019-04-19 11:32:47+00:00","98e0100",""
"","2019-04-19 14:12:13+00:00","ae47854",""
"","2019-04-19 15:10:19+00:00","2d93010",""
"","2019-04-19 15:18:41+00:00","86d980b",""
"","2019-04-19 16:31:58+00:00","e44563c",""
"","2019-04-19 16:32:14+00:00","8a612d3",""
"","2019-04-19 21:57:57+00:00","ece01cb",""
"","2019-04-20 08:05:03+00:00","c61901c",""
"","2019-04-21 18:54:53+00:00","a0fb12c",""
"","2019-04-21 19:38:04+00:00","8ff1b90",""
"","2019-04-23 13:40:12+00:00","bc4f952",""
"","2019-04-23 13:41:02+00:00","0dc6d2e",""
"","2019-04-23 15:34:15+00:00","db0d682",""
"","2019-04-23 15:40:59+00:00","469e89a",""
"","2019-04-23 15:44:20+00:00","16b12eb",""
"","2019-04-23 15:52:58+00:00","c04248a",""
"","2019-04-23 16:03:45+00:00","c7c718d",""
"","2019-04-23 16:07:27+00:00","6dc2d38",""
"","2019-04-24 15:23:34+00:00","3aeab59",""
"","2019-04-24 15:45:06+00:00","8193c71",""
"","2019-04-24 16:41:59+00:00","ef025eb",""
"","2019-04-24 20:45:08+00:00","ea948ad",""
"","2019-04-25 08:15:54+00:00","862c58f",""
"","2019-04-25 10:01:13+00:00","794b349",""
"","2019-04-25 16:36:13+00:00","6123aa8",""
"bgruening","2019-04-25 17:40:09+00:00","3bf156d","[{""name"": ""mean-per-zone"", ""categories"": [""GIS"", ""Visualization""]}]"
"bgruening","2019-04-25 17:40:44+00:00","968b49b","[{""name"": ""mean-per-zone"", ""categories"": [""GIS"", ""Visualization""]}]"
"","2019-04-25 18:14:43+00:00","24f20e7",""
"bgruening","2019-04-25 19:35:27+00:00","ad479bf","[{""name"": ""psy-maps"", ""categories"": [""Map Visualization""]}]"
"bgruening","2019-04-25 19:37:05+00:00","9da7ea7","[{""name"": ""psy-maps"", ""categories"": [""Map Visualization""]}]"
"bgruening","2019-04-25 19:38:10+00:00","bacff65","[{""name"": ""shift-longitudes"", ""categories"": [""Climate Data Analysis""]}]"
"bgruening","2019-04-25 19:38:58+00:00","599a525","[{""name"": ""shift-longitudes"", ""categories"": [""Climate Data Analysis""]}]"
"bgruening","2019-04-25 19:39:51+00:00","cbabfe0","[{""name"": ""smithsonian-volcanoes"", ""categories"": [""Retrieve Data""]}]"
"bgruening","2019-04-25 19:40:54+00:00","f15b8c1","[{""name"": ""smithsonian-volcanoes"", ""categories"": [""Retrieve Data""]}]"
"","2019-04-25 21:30:50+00:00","c1fd000",""
"","2019-04-25 21:52:00+00:00","c1362af",""
"","2019-04-28 10:54:46+00:00","567c8df",""
"","2019-05-03 18:57:14+00:00","49926d0",""
"","2019-05-07 07:14:10+00:00","bf6deec",""
"","2019-06-23 15:03:47+00:00","6045302",""
"","2019-06-24 06:21:47+00:00","a5d176b",""
"","2019-07-07 13:52:39+00:00","9a4156f",""
"","2019-07-07 13:55:34+00:00","baa781f",""
"","2019-09-27 14:10:37+00:00","45cc4af",""
"","2019-10-04 12:02:45+00:00","ac9527d",""
"","2019-10-04 12:06:55+00:00","6ec8f9d",""
"","2019-10-04 12:14:22+00:00","3e6fbfe",""
"","2019-10-04 12:46:33+00:00","494e823",""
"","2019-10-04 12:52:51+00:00","d1986bf",""
"","2019-10-04 12:58:03+00:00","c20bcbf",""
"","2019-10-04 13:22:44+00:00","7308f26",""
"","2019-10-04 13:30:30+00:00","0b443b2",""
"","2019-10-04 14:00:41+00:00","0b29884",""
"","2019-10-04 14:49:56+00:00","29e7512",""
"","2019-10-05 11:04:30+00:00","9566071",""
"","2019-10-05 11:15:36+00:00","1db9780",""
"","2019-10-05 11:33:46+00:00","5e429f9",""
"","2019-10-05 11:46:05+00:00","ef7d0f8",""
"","2019-10-05 11:52:45+00:00","cc32c6e",""
"","2019-10-05 12:03:09+00:00","14d6179",""
"","2019-10-05 12:50:26+00:00","83314c7",""
"","2019-10-05 13:01:51+00:00","7667b37",""
"","2019-10-05 16:00:33+00:00","b57b3a9",""
"","2019-10-05 16:02:43+00:00","cab7335",""
"","2019-10-05 17:55:38+00:00","5612a78",""
"","2019-10-05 17:57:27+00:00","38e64d5",""
"","2019-10-05 18:36:02+00:00","568b139",""
"","2019-10-05 18:53:21+00:00","54e1160",""
"","2019-10-05 19:32:12+00:00","57861d9",""
"","2019-10-05 20:26:39+00:00","bdfc863",""
"","2019-10-05 20:33:35+00:00","5e2a6fc",""
"","2019-10-05 20:43:01+00:00","85a67c4",""
"bgruening","2019-10-05 20:48:34+00:00","aa08ea4","[{""name"": ""climate-stripes"", ""categories"": [""Climate Analysis"", ""Visualization""]}]"
"bgruening","2019-10-05 20:56:15+00:00","4803d76","[{""name"": ""psy-maps"", ""categories"": [""Climate Analysis"", ""Visualization""]}]"
"","2020-04-14 18:53:47+00:00","78edbd3",""
"","2020-07-31 06:29:58+00:00","be665aa",""
"","2020-09-28 11:56:22+00:00","034b281",""
"bgruening","2020-10-19 07:40:04+00:00","16a4921","[]"
"bgruening","2020-10-19 07:40:18+00:00","c1162de","[]"
"bgruening","2020-10-19 07:43:03+00:00","d8d63c0","[]"
"bgruening","2020-10-19 07:55:33+00:00","207d5bc","[]"
"","2020-10-21 17:10:16+00:00","beb6cc9",""
"","2020-10-21 19:52:26+00:00","e2ed474",""
"","2020-10-21 20:01:17+00:00","fd7d8d6",""
"","2020-10-21 20:15:18+00:00","f282701",""
"bgruening","2020-10-21 20:30:18+00:00","4b05801","[{""name"": ""fates-emerald"", ""categories"": [""Climate Analysis""]}]"
"bgruening","2020-10-21 20:30:30+00:00","c85f3e9","[{""name"": ""fates-emerald"", ""categories"": [""Climate Analysis""]}]"
"","2020-12-17 14:09:20+00:00","fcaf120",""
"","2021-04-13 18:17:13+00:00","04069ef",""
"","2021-06-08 08:43:08+00:00","9a008db",""
"","2021-06-15 08:24:21+00:00","5c969e4",""
"","2021-06-19 18:06:33+00:00","778688e",""
"","2021-06-19 18:08:55+00:00","52e7004",""
"","2021-09-01 13:49:30+00:00","05a45a2",""
"","2021-09-03 12:30:18+00:00","b8cc583",""
"","2021-09-03 12:33:55+00:00","1c4a537",""
"","2021-09-03 12:44:49+00:00","0791fb7",""
"","2021-09-03 15:03:45+00:00","1aa36fd",""
"","2021-09-03 15:16:13+00:00","86258b9",""
"","2021-09-04 13:52:08+00:00","30da3e9",""
"","2021-09-04 18:43:28+00:00","6c7fdd4",""
"","2021-09-04 19:41:33+00:00","e641d63",""
"","2021-09-04 19:57:06+00:00","ed7e8ad",""
"","2021-09-04 20:10:45+00:00","2d76e92",""
"","2021-09-05 15:17:44+00:00","f9897a0",""
"","2021-12-27 10:10:20+00:00","7055c67",""
