"author","timestamp","sha","tools"
"pcm32","2018-06-01 15:19:04+00:00","ec846fe","[]"
"pcm32","2018-06-01 15:21:01+00:00","51d7a6f","[]"
"pcm32","2018-06-01 15:37:56+00:00","78d4c89","[]"
"pcm32","2018-06-01 15:47:23+00:00","6a017ab","[]"
"pcm32","2018-07-03 16:14:45+00:00","1f896ea","[]"
"pcm32","2018-07-03 16:15:14+00:00","40f04c4","[]"
"pcm32","2018-07-09 15:12:13+00:00","d1ce30b","[]"
"pcm32","2018-07-10 21:06:58+00:00","155dc05","[]"
"pcm32","2018-07-10 21:10:38+00:00","4d1cda9","[]"
"pcm32","2018-07-10 21:11:40+00:00","d05aaf6","[]"
"pcm32","2018-07-26 14:52:22+00:00","cd37ff4","[]"
"pcm32","2018-07-26 15:06:24+00:00","ca7b94b","[]"
"pcm32","2018-07-26 15:07:59+00:00","cce1d8a","[]"
"pcm32","2018-08-01 08:51:04+00:00","6d52d51","[]"
"pcm32","2018-09-11 14:40:59+00:00","bbd06e4","[]"
"pcm32","2018-09-12 16:16:23+00:00","1a0f4bc","[]"
"pcm32","2018-09-12 16:17:57+00:00","283ec22","[]"
"pcm32","2018-09-12 16:21:35+00:00","bd34cc8","[]"
"pcm32","2018-09-18 12:48:59+00:00","9a69747","[]"
"pcm32","2018-09-18 15:43:32+00:00","5750927","[]"
"pcm32","2018-09-19 13:23:43+00:00","eefbe0d","[]"
"pcm32","2018-09-19 22:13:10+00:00","5550325","[]"
"suhaibMo","2018-10-11 15:56:15+00:00","ba8d67d","[]"
"","2018-11-05 16:19:00+00:00","6147a27",""
"nh3","2018-11-05 16:19:16+00:00","2640541","[{""name"": ""scanpy"", ""categories"": [""Sequence Analysis"", ""Transcriptomics""]}]"
"pcm32","2018-11-06 08:51:16+00:00","8cde61e","[]"
"pcm32","2018-11-06 09:00:58+00:00","c8cacef","[]"
"nh3","2018-11-06 10:40:10+00:00","b6d577c","[{""name"": ""scanpy"", ""categories"": [""Sequence Analysis"", ""Transcriptomics""]}]"
"nh3","2018-11-12 13:17:55+00:00","c8bc590","[{""name"": ""scanpy"", ""categories"": [""Sequence Analysis"", ""Transcriptomics""]}]"
"nh3","2018-11-21 11:46:30+00:00","e2b9ad1","[]"
"nh3","2018-11-21 11:49:11+00:00","65a1541","[{""name"": ""scanpy"", ""categories"": [""Sequence Analysis"", ""Transcriptomics""]}]"
"pcm32","2018-11-21 13:57:04+00:00","7a56ae0","[]"
"","2018-11-21 16:21:40+00:00","2e2c464",""
"nh3","2018-11-21 17:12:10+00:00","5861c6f","[{""name"": ""scanpy"", ""categories"": [""Sequence Analysis"", ""Transcriptomics""]}]"
"pcm32","2018-11-22 12:14:53+00:00","b9ddb13","[]"
"pcm32","2018-11-28 16:35:37+00:00","3757ca6","[]"
"pcm32","2018-12-09 12:45:24+00:00","86d4481","[]"
"pcm32","2018-12-10 17:44:00+00:00","0fd3dfc","[]"
"nh3","2018-12-10 23:51:19+00:00","77d4bec","[{""name"": ""scanpy"", ""categories"": [""Sequence Analysis"", ""Transcriptomics""]}]"
"pinin4fjords","2018-12-11 17:44:00+00:00","536a807","[]"
"pinin4fjords","2018-12-12 11:30:49+00:00","f72eb4e","[]"
"nh3","2019-01-14 17:20:36+00:00","cf1a15c","[{""name"": ""scanpy"", ""categories"": [""Sequence Analysis"", ""Transcriptomics""]}]"
"nh3","2019-01-22 14:57:51+00:00","a763a63","[]"
"nh3","2019-01-28 14:35:44+00:00","3b50b96","[]"
"pcm32","2019-01-29 17:19:14+00:00","8fb5889","[]"
"","2019-01-31 11:38:50+00:00","dfb4cdb",""
"nh3","2019-02-08 17:26:37+00:00","7697c5c","[]"
"pcm32","2019-02-14 14:47:29+00:00","71f0dc6","[]"
"pcm32","2019-02-14 16:05:04+00:00","208126f","[]"
"nh3","2019-02-15 10:05:30+00:00","84320ae","[]"
"nh3","2019-02-15 11:18:58+00:00","6b7af46","[]"
"nh3","2019-02-15 12:56:39+00:00","2348b86","[]"
"nh3","2019-02-15 15:40:23+00:00","67583ce","[]"
"nh3","2019-02-16 04:17:21+00:00","02d08cb","[]"
"nh3","2019-02-18 11:39:36+00:00","a36c025","[]"
"nh3","2019-02-22 13:00:14+00:00","93fc164","[]"
"nh3","2019-02-25 10:04:36+00:00","7f506b5","[]"
"pcm32","2019-02-26 09:53:35+00:00","40a6633","[]"
"pcm32","2019-02-26 11:48:06+00:00","5b81192","[{""name"": ""scanpy"", ""categories"": [""Sequence Analysis"", ""Transcriptomics""]}]"
"pcm32","2019-02-26 13:43:06+00:00","e148bc6","[]"
"nh3","2019-02-28 14:14:08+00:00","4f0511a","[]"
"pcm32","2019-03-04 11:56:40+00:00","fc12e1e","[{""name"": ""scanpy"", ""categories"": [""Sequence Analysis"", ""Transcriptomics""]}]"
"nh3","2019-03-07 21:15:47+00:00","1997873","[{""name"": ""scanpy"", ""categories"": [""Sequence Analysis"", ""Transcriptomics""]}]"
"pcm32","2019-03-08 10:40:57+00:00","ec0d7a5","[{""name"": ""scanpy"", ""categories"": [""Sequence Analysis"", ""Transcriptomics""]}]"
"pcm32","2019-03-08 18:44:32+00:00","3144c0b","[]"
"pcm32","2019-03-09 22:03:49+00:00","831825d","[{""name"": ""data"", ""categories"": [""Sequence Analysis"", ""Transcriptomics""]}, {""name"": ""dropletutils"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Statistics"", ""Transcriptomics""]}, {""name"": ""sc3"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Statistics"", ""Transcriptomics""]}, {""name"": ""scanpy"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Transcriptomics""]}, {""name"": ""scater"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Statistics"", ""Transcriptomics""]}, {""name"": ""seurat"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Statistics"", ""Transcriptomics""]}, {""name"": ""ucsc-cell-browser"", ""categories"": [""Transcriptomics""]}]"
"pcm32","2019-03-10 21:13:00+00:00","2b10483","[]"
"pcm32","2019-03-11 14:40:13+00:00","9aab141","[{""name"": ""scanpy"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Transcriptomics""]}]"
"pcm32","2019-03-11 16:35:27+00:00","07978e3","[]"
"pcm32","2019-03-11 16:47:31+00:00","68c25c0","[]"
"pcm32","2019-03-11 16:49:49+00:00","471b4d4","[]"
"pcm32","2019-03-11 16:57:58+00:00","7fd0f70","[]"
"pcm32","2019-03-11 17:11:04+00:00","9f20056","[]"
"pcm32","2019-03-11 17:42:41+00:00","aa931ef","[]"
"pcm32","2019-03-11 21:16:43+00:00","33aa711","[]"
"pcm32","2019-03-11 22:05:58+00:00","6db0bd9","[]"
"pcm32","2019-03-11 22:16:45+00:00","02a35d1","[{""name"": ""data"", ""categories"": [""Sequence Analysis"", ""Transcriptomics""]}, {""name"": ""dropletutils"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Statistics"", ""Transcriptomics""]}, {""name"": ""sc3"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Statistics"", ""Transcriptomics""]}, {""name"": ""scanpy"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Transcriptomics""]}, {""name"": ""scater"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Statistics"", ""Transcriptomics""]}, {""name"": ""seurat"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Statistics"", ""Transcriptomics""]}, {""name"": ""ucsc-cell-browser"", ""categories"": [""Transcriptomics""]}]"
"pcm32","2019-03-11 22:16:50+00:00","dca9be7","[]"
"suhaibMo","2019-03-19 16:30:26+00:00","c415013","[{""name"": ""scanpy"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Transcriptomics""]}]"
"pcm32","2019-03-20 15:37:09+00:00","41af6a6","[{""name"": ""scanpy"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Transcriptomics""]}, {""name"": ""util"", ""categories"": [""Sequence Analysis""]}]"
"pcm32","2019-04-03 15:25:58+00:00","6281634","[{""name"": ""scanpy"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Transcriptomics""]}]"
"pcm32","2019-04-08 10:02:09+00:00","03ff7ed","[]"
"pcm32","2019-05-02 13:12:15+00:00","af1bc65","[]"
"pcm32","2019-05-02 13:13:20+00:00","7422b3b","[]"
"pcm32","2019-05-02 13:13:20+00:00","fd33106","[]"
"pcm32","2019-05-24 08:36:47+00:00","c322919","[]"
"pcm32","2019-06-07 11:53:57+00:00","22c5cf5","[{""name"": ""ucsc-cell-browser"", ""categories"": [""Transcriptomics""]}]"
"bgruening","2019-07-02 07:42:34+00:00","3b3ec7c","[{""name"": ""data"", ""categories"": [""Sequence Analysis"", ""Transcriptomics""]}]"
"pcm32","2019-07-02 14:36:57+00:00","b583c14","[]"
"nh3","2019-07-02 14:38:22+00:00","0e2155e","[{""name"": ""data-hca"", ""categories"": [""Sequence Analysis"", ""Transcriptomics""]}, {""name"": ""data-scxa"", ""categories"": [""Sequence Analysis"", ""Transcriptomics""]}]"
"pcm32","2019-08-01 09:07:28+00:00","7bf7536","[{""name"": ""data-scxa"", ""categories"": [""Sequence Analysis"", ""Transcriptomics""]}, {""name"": ""ucsc-cell-browser"", ""categories"": [""Transcriptomics""]}]"
"pinin4fjords","2019-08-30 11:20:44+00:00","195a9b4","[{""name"": ""scmap"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Statistics"", ""Transcriptomics""]}]"
"nh3","2019-09-03 15:40:22+00:00","46e6ae0","[{""name"": ""scanpy"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Transcriptomics""]}]"
"nh3","2019-09-04 16:18:52+00:00","cb966b3","[]"
"nh3","2019-09-09 08:42:18+00:00","dd62783","[]"
"nh3","2019-09-16 11:10:32+00:00","4846776","[{""name"": ""scanpy"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Transcriptomics""]}]"
"pcm32","2019-09-16 13:48:01+00:00","815e362","[{""name"": ""monocle3"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Statistics"", ""Transcriptomics""]}, {""name"": ""scmap"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Statistics"", ""Transcriptomics""]}]"
"pcm32","2019-09-19 09:27:15+00:00","8d95360","[]"
"nh3","2019-09-26 16:30:36+00:00","440d686","[{""name"": ""scater"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Statistics"", ""Transcriptomics""]}]"
"pcm32","2019-10-14 12:06:42+00:00","2b15b78","[]"
"pcm32","2019-10-14 14:00:43+00:00","316a453","[{""name"": ""scanpy"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Transcriptomics""]}]"
"nh3","2019-10-14 14:35:09+00:00","84b8e88","[{""name"": ""sceasy"", ""categories"": [""Transcriptomics""]}]"
"pcm32","2019-10-15 06:30:28+00:00","1cc5d21","[{""name"": ""scanpy"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Transcriptomics""]}]"
"pinin4fjords","2019-10-18 13:41:55+00:00","06283e9","[{""name"": ""util"", ""categories"": [""Sequence Analysis""]}]"
"nh3","2019-10-19 22:26:39+00:00","a9bd0fc","[{""name"": ""monocle3"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Statistics"", ""Transcriptomics""]}]"
"pcm32","2019-10-19 22:30:08+00:00","6d6da5f","[]"
"pcm32","2019-10-20 13:02:10+00:00","a4fd438","[{""name"": ""data-scxa"", ""categories"": [""Sequence Analysis"", ""Transcriptomics""]}, {""name"": ""sccaf"", ""categories"": [""Transcriptomics""]}]"
"pcm32","2019-10-21 16:18:13+00:00","cdf67b8","[{""name"": ""sceasy"", ""categories"": [""Transcriptomics""]}]"
"pinin4fjords","2019-10-22 10:37:43+00:00","7d77317","[{""name"": ""util"", ""categories"": [""Sequence Analysis""]}]"
"pinin4fjords","2019-10-22 11:52:33+00:00","0745b1d","[{""name"": ""scanpy"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Transcriptomics""]}]"
"pinin4fjords","2019-10-22 11:55:32+00:00","21b38b4","[{""name"": ""scanpy"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Transcriptomics""]}]"
"pcm32","2019-10-22 15:01:31+00:00","6214a78","[{""name"": ""data-hca"", ""categories"": [""Sequence Analysis"", ""Transcriptomics""]}]"
"nh3","2019-10-24 09:25:26+00:00","ab5ef52","[{""name"": ""scanpy"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Transcriptomics""]}]"
"pcm32","2019-10-24 11:01:19+00:00","4aed812","[]"
"pinin4fjords","2019-10-25 12:07:01+00:00","ccd9b83","[{""name"": ""scanpy"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Transcriptomics""]}]"
"pinin4fjords","2019-10-25 12:43:11+00:00","b9472e4","[{""name"": ""scmap"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Statistics"", ""Transcriptomics""]}]"
"pinin4fjords","2019-10-25 13:23:34+00:00","ab0f820","[{""name"": ""util"", ""categories"": [""Sequence Analysis""]}]"
"pinin4fjords","2019-10-28 09:16:07+00:00","d13a0a5","[{""name"": ""scanpy"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Transcriptomics""]}]"
"pinin4fjords","2019-10-28 13:43:13+00:00","16c0036","[{""name"": ""scanpy"", ""categories"": [""RNA"", ""Sequence Analysis"", ""Transcriptomics""]}]"
"pinin4fjords","2019-11-01 13:43:36+00:00","2d7ec5b","[{""name"": ""util"", ""categories"": [""Sequence Analysis""]}]"
"pinin4fjords","2019-11-07 10:05:38+00:00","023431c","[{""name"": ""gtf-2-gene-list"", ""categories"": [""Sequence Analysis""]}, {""name"": ""salmon-kallisto-mtx-to-10x"", ""categories"": [""Sequence Analysis""]}]"
"pinin4fjords","2019-11-07 15:17:54+00:00","a785b79","[{""name"": ""droplet-barcode-plot"", ""categories"": [""Sequence Analysis""]}]"
