"author","timestamp","sha","tools"
"cmonjeau","2015-07-06 10:09:33+00:00","c642288","[]"
"cmonjeau","2015-07-06 11:54:18+00:00","dd9f3ae","[]"
"cmonjeau","2015-07-06 15:39:13+00:00","663449d","[]"
"cmonjeau","2015-07-07 12:47:40+00:00","fd871ef","[]"
"cmonjeau","2015-08-17 13:45:50+00:00","96e9faa","[]"
"cmonjeau","2015-08-17 13:46:16+00:00","80d8512","[]"
"cmonjeau","2015-08-17 13:47:57+00:00","feefd55","[]"
"cmonjeau","2015-08-17 13:50:11+00:00","65a9657","[]"
"cmonjeau","2015-08-17 13:50:42+00:00","20aef09","[]"
"cmonjeau","2015-08-17 14:04:48+00:00","bd8b463","[]"
"cmonjeau","2015-08-17 14:05:56+00:00","045c27c","[]"
"cmonjeau","2015-08-24 13:43:55+00:00","a7080d7","[]"
"cmonjeau","2015-08-24 15:45:26+00:00","86f2982","[]"
"cmonjeau","2015-09-29 13:45:05+00:00","5c5641d","[]"
"tiagoantao","2016-01-10 18:16:14+00:00","633e2b8","[]"
"abretaud","2016-01-11 09:38:00+00:00","c36e3fb","[]"
"tiagoantao","2016-01-11 14:22:36+00:00","aa11d7a","[]"
"abretaud","2016-01-12 07:37:45+00:00","efdb6c9","[]"
"abretaud","2016-01-18 15:51:26+00:00","9009e9a","[{""name"": ""busco"", ""categories"": [""Sequence Analysis""]}, {""name"": ""package_busco_1_1b1"", ""categories"": [""Tool Dependency Packages""]}]"
"abretaud","2016-01-18 15:59:09+00:00","1d96703","[{""name"": ""busco"", ""categories"": [""Sequence Analysis""]}]"
"tiagoantao","2016-02-01 22:36:14+00:00","0141dd8","[]"
"tiagoantao","2016-02-01 22:38:07+00:00","a99f126","[{""name"": ""busco"", ""categories"": [""Sequence Analysis""]}, {""name"": ""package_busco_1_1b1"", ""categories"": [""Tool Dependency Packages""]}]"
"abretaud","2016-02-02 14:21:30+00:00","841759d","[]"
"tiagoantao","2016-03-07 10:44:19+00:00","3010b6c","[]"
"abretaud","2016-03-07 13:47:49+00:00","067a8a4","[]"
"tiagoantao","2016-03-07 13:49:31+00:00","323191b","[]"
"abretaud","2016-03-07 13:51:32+00:00","c2aa045","[]"
"abretaud","2016-03-22 16:09:26+00:00","cdc16ea","[]"
"abretaud","2016-03-23 08:37:13+00:00","6014653","[]"
"abretaud","2016-06-07 07:53:20+00:00","625a508","[{""name"": ""package_busco_1_1b1"", ""categories"": [""Tool Dependency Packages""]}]"
"abretaud","2018-04-06 09:06:52+00:00","2a55afb","[]"
"abretaud","2018-04-06 09:12:19+00:00","9db6136","[]"
"abretaud","2018-04-06 09:38:14+00:00","719147c","[]"
"abretaud","2018-04-06 09:39:36+00:00","8e3f707","[]"
"abretaud","2018-04-06 09:50:03+00:00","4345824","[]"
"abretaud","2018-04-06 09:51:25+00:00","b0409c6","[]"
"abretaud","2018-04-06 09:52:42+00:00","04e8edc","[]"
"flegeai","2018-04-06 15:07:46+00:00","d52a0cf","[]"
"flegeai","2018-04-06 15:09:49+00:00","9da10c2","[]"
"flegeai","2018-04-09 14:21:57+00:00","fc24c22","[]"
"flegeai","2018-04-09 14:33:56+00:00","9fb4b52","[]"
"flegeai","2018-04-09 14:53:48+00:00","263d658","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"flegeai","2018-04-09 15:29:59+00:00","adce79d","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"flegeai","2018-04-10 10:09:19+00:00","e2dcfb9","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"flegeai","2018-04-10 13:17:55+00:00","ccf952e","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"flegeai","2018-04-10 13:47:49+00:00","6b40bb4","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"flegeai","2018-04-10 13:55:46+00:00","6488fd2","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"flegeai","2018-04-10 14:05:53+00:00","7afce97","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"flegeai","2018-04-10 14:33:17+00:00","04ceef3","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"flegeai","2018-04-10 15:24:25+00:00","970b54a","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"flegeai","2018-04-11 07:30:10+00:00","bb9600e","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"","2018-04-11 07:33:59+00:00","e6010ab",""
"","2018-04-11 07:36:48+00:00","4d6b340",""
"abretaud","2018-04-11 07:41:51+00:00","0fec18e","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"abretaud","2018-04-11 07:47:50+00:00","c13c83e","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"abretaud","2018-04-11 07:51:04+00:00","494a0f5","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"abretaud","2018-04-11 08:04:29+00:00","d6934ae","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"abretaud","2018-04-11 08:50:01+00:00","591f288","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"abretaud","2018-04-11 08:50:27+00:00","b20a080","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"abretaud","2018-04-11 08:52:10+00:00","051a638","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"flegeai","2018-04-11 09:16:28+00:00","d2828a4","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"flegeai","2018-04-11 14:07:23+00:00","dfd41d7","[]"
"flegeai","2018-04-11 14:07:44+00:00","12aba7b","[{""name"": ""feelnc2asko"", ""categories"": [""Convert Formats""]}]"
"flegeai","2018-04-11 15:53:09+00:00","f0b9d7f","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"abretaud","2018-04-11 16:06:56+00:00","e68386d","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"abretaud","2018-04-12 08:00:06+00:00","ad02fd1","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"abretaud","2018-04-12 08:32:32+00:00","dde7bf2","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"asusete","2018-04-12 08:43:58+00:00","c7802c9","[{""name"": ""feelnc2asko"", ""categories"": [""Convert Formats""]}]"
"abretaud","2018-04-12 08:49:01+00:00","718e0e5","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"asusete","2018-04-12 08:50:24+00:00","9b8e2fc","[{""name"": ""feelnc2asko"", ""categories"": [""Convert Formats""]}]"
"abretaud","2018-04-12 08:50:33+00:00","5429162","[]"
"abretaud","2018-04-12 08:59:00+00:00","08a187f","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"abretaud","2018-04-12 09:01:31+00:00","2b28c03","[{""name"": ""feelnc2asko"", ""categories"": [""Convert Formats""]}]"
"abretaud","2018-04-12 09:23:51+00:00","481262a","[]"
"abretaud","2018-04-12 09:23:59+00:00","b97060d","[{""name"": ""askor"", ""categories"": [""Transcriptomics""]}]"
"abretaud","2018-04-12 09:53:59+00:00","9284922","[{""name"": ""feelnc2asko"", ""categories"": [""Convert Formats""]}]"
"cmonjeau","2018-04-12 12:28:40+00:00","efa998a","[]"
