"author","timestamp","sha","tools"
"lldelisle","2017-07-24 08:24:12+00:00","7c1fe64","[]"
"lldelisle","2017-07-24 08:50:38+00:00","18f108a","[]"
"lldelisle","2017-07-24 08:52:50+00:00","9599473","[]"
"lldelisle","2017-07-24 08:54:28+00:00","824e166","[]"
"lldelisle","2017-07-24 09:17:25+00:00","d2fdda0","[{""name"": ""package_python_2_7_numexpr_2_6_2"", ""categories"": []}]"
"lldelisle","2017-07-24 09:23:37+00:00","89a7ff3","[{""name"": ""package_python_2_7_numexpr_2_6_2"", ""categories"": [""Tool Dependency Packages""]}]"
"lldelisle","2017-07-24 11:19:12+00:00","2bb77d5","[]"
"lldelisle","2017-07-24 15:12:17+00:00","5c90f29","[]"
"lldelisle","2017-07-24 15:22:09+00:00","83a38f8","[]"
"lldelisle","2017-07-24 15:39:26+00:00","0f81b48","[]"
"lldelisle","2017-07-24 15:56:48+00:00","13ebaec","[]"
"lldelisle","2017-07-25 08:19:39+00:00","d3f7ea8","[{""name"": ""package_python_2_7_joblib_0_11"", ""categories"": [""Tool Dependency Packages""]}]"
"lldelisle","2017-07-25 08:47:19+00:00","d941d83","[]"
"lldelisle","2017-07-27 11:55:06+00:00","59b6822","[]"
"","2017-07-27 12:02:03+00:00","86aeafa",""
"lldelisle","2017-07-27 12:26:53+00:00","0d97aaf","[]"
"lldelisle","2017-07-27 12:28:25+00:00","d55e518","[{""name"": ""cooler"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2017-07-27 13:59:53+00:00","693c2b4","[{""name"": ""cooler"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2017-09-01 18:53:09+00:00","6ee9227","[{""name"": ""cooler"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2018-06-05 09:52:01+00:00","669948e","[{""name"": ""fromHicupToJuicebox"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2018-06-07 12:15:17+00:00","e0dab4b","[{""name"": ""cooler"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2018-06-13 14:28:22+00:00","8e32978","[{""name"": ""getTn5ExtendedCoverage"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2018-06-13 15:11:00+00:00","99b65e3","[{""name"": ""getTn5ExtendedCoverage"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2018-11-14 12:20:40+00:00","bd660b4","[{""name"": ""fromHicupToJuicebox"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2018-12-05 16:53:12+00:00","db58018","[]"
"lldelisle","2018-12-06 17:20:17+00:00","3aa9be1","[]"
"lldelisle","2018-12-06 17:35:10+00:00","a985d59","[{""name"": ""fromHicupToJuicebox"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2018-12-07 09:53:58+00:00","d8b7bd6","[{""name"": ""cooler"", ""categories"": [""Epigenetics""]}, {""name"": ""fromHicupToJuicebox"", ""categories"": [""Epigenetics""]}, {""name"": ""getTn5ExtendedCoverage"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2018-12-07 10:12:54+00:00","69a71e9","[{""name"": ""cooler"", ""categories"": [""Epigenetics""]}, {""name"": ""fromHicupToJuicebox"", ""categories"": [""Epigenetics""]}, {""name"": ""getTn5ExtendedCoverage"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2018-12-07 10:29:25+00:00","a6b1183","[{""name"": ""cooler"", ""categories"": [""Epigenetics""]}, {""name"": ""fromHicupToJuicebox"", ""categories"": [""Epigenetics""]}, {""name"": ""getTn5ExtendedCoverage"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2018-12-07 10:51:14+00:00","ded50c0","[{""name"": ""cooler"", ""categories"": [""Epigenetics""]}, {""name"": ""fromHicupToJuicebox"", ""categories"": [""Epigenetics""]}, {""name"": ""getTn5ExtendedCoverage"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2018-12-07 11:02:49+00:00","1cbda76","[{""name"": ""cooler"", ""categories"": [""Epigenetics""]}, {""name"": ""fromHicupToJuicebox"", ""categories"": [""Epigenetics""]}, {""name"": ""getTn5ExtendedCoverage"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2018-12-07 11:05:17+00:00","fd69216","[{""name"": ""getTn5ExtendedCoverage"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2018-12-07 11:26:13+00:00","5101aef","[]"
"lldelisle","2018-12-07 12:14:40+00:00","c7f16a8","[{""name"": ""cooler"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2018-12-07 12:15:13+00:00","ce851c7","[]"
"lldelisle","2018-12-07 13:43:29+00:00","49e9967","[{""name"": ""getTn5ExtendedCoverage"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2018-12-07 14:03:34+00:00","7db5600","[{""name"": ""getTn5ExtendedCoverage"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2018-12-07 14:45:23+00:00","abe40c3","[{""name"": ""cooler"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2018-12-07 15:35:54+00:00","92760c9","[{""name"": ""getTn5ExtendedCoverage"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2019-02-01 09:05:58+00:00","e8c6f56","[{""name"": ""fromHicupToJuicebox"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2019-04-17 07:40:05+00:00","85c28a4","[{""name"": ""revertR2orientationInBam"", ""categories"": [""SAM""]}]"
"lldelisle","2019-04-17 08:00:48+00:00","67a91f5","[{""name"": ""revertR2orientationInBam"", ""categories"": [""SAM""]}]"
"lldelisle","2019-04-17 08:10:07+00:00","a876ebc","[{""name"": ""revertR2orientationInBam"", ""categories"": [""SAM""]}]"
"lldelisle","2019-07-31 11:26:42+00:00","211145c","[{""name"": ""fromgtfTobed12"", ""categories"": [""Convert Formats""]}]"
"lldelisle","2019-07-31 11:28:07+00:00","a8b039d","[{""name"": ""fromHicupToJuicebox"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2019-07-31 11:32:40+00:00","9a1d8af","[{""name"": ""fromgtfTobed12"", ""categories"": [""Convert Formats""]}]"
"lldelisle","2019-10-11 14:57:29+00:00","16b74e6","[{""name"": ""cooler"", ""categories"": [""Epigenetics""]}]"
"lldelisle","2019-10-11 14:57:51+00:00","cadc2f4","[{""name"": ""fromgtfTobed12"", ""categories"": [""Convert Formats""]}]"
"lldelisle","2019-10-11 15:03:22+00:00","8d83351","[]"
"lldelisle","2019-10-11 15:03:40+00:00","adac6d3","[]"
"lldelisle","2019-10-11 20:43:18+00:00","f6b4259","[{""name"": ""fromgtfTobed12"", ""categories"": [""Convert Formats""]}]"
"lldelisle","2019-10-11 20:43:36+00:00","48ac75b","[{""name"": ""fromgtfTobed12"", ""categories"": [""Convert Formats""]}]"
"lldelisle","2019-10-11 20:44:31+00:00","b689689","[]"
"lldelisle","2019-10-14 08:49:11+00:00","33d80a6","[]"
"lldelisle","2019-12-04 06:47:55+00:00","0868b2a","[{""name"": ""fromgtfTobed12"", ""categories"": [""Convert Formats""]}]"
"lldelisle","2019-12-04 06:48:43+00:00","fc9b095","[{""name"": ""fromgtfTobed12"", ""categories"": [""Convert Formats""]}]"
"lldelisle","2019-12-04 06:52:59+00:00","bae4644","[{""name"": ""fromgtfTobed12"", ""categories"": [""Convert Formats""]}]"
"lldelisle","2019-12-04 06:58:23+00:00","6a23132","[{""name"": ""fromgtfTobed12"", ""categories"": [""Convert Formats""]}]"
"lldelisle","2019-12-04 08:40:32+00:00","ab74fac","[{""name"": ""fromgtfTobed12"", ""categories"": [""Convert Formats""]}]"
"lldelisle","2020-04-03 15:55:06+00:00","c68b809","[{""name"": ""fromgtfTobed12"", ""categories"": [""Convert Formats""]}]"
"lldelisle","2020-04-03 15:55:24+00:00","ca81cbc","[{""name"": ""fromgtfTobed12"", ""categories"": [""Convert Formats""]}]"
"lldelisle","2020-04-03 16:00:04+00:00","822030d","[{""name"": ""fromgtfTobed12"", ""categories"": [""Convert Formats""]}]"
"lldelisle","2020-04-03 16:01:35+00:00","fe30ce1","[{""name"": ""fromgtfTobed12"", ""categories"": [""Convert Formats""]}]"
