"author","timestamp","sha","tools"
"elichad","2021-04-07 09:08:26+00:00","0b14f55","[]"
"elichad","2021-04-20 09:29:14+00:00","e2c826b","[]"
"elichad","2021-04-30 11:49:11+00:00","6eb9074","[]"
"elichad","2021-04-30 12:17:30+00:00","1d73cdb","[]"
"elichad","2021-04-30 12:50:46+00:00","3261451","[]"
"elichad","2021-05-04 12:13:46+00:00","2ae285d","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"elichad","2021-05-04 12:50:05+00:00","f92ab6c","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"elichad","2021-05-07 13:35:08+00:00","297d377","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"elichad","2021-05-07 13:36:51+00:00","7c75393","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"elichad","2021-05-10 12:11:28+00:00","021a51c","[]"
"elichad","2021-05-10 12:13:06+00:00","a976bfc","[]"
"elichad","2021-05-10 12:51:10+00:00","dfed10d","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"","2021-08-25 07:54:27+00:00","073a666",""
"elichad","2021-08-25 08:25:03+00:00","6df1287","[]"
"elichad","2021-08-25 08:30:09+00:00","dcf3104","[]"
"","2021-08-25 08:35:07+00:00","f85143e",""
"Jo-stfc","2021-09-16 10:30:18+00:00","bb12f12","[{""name"": ""pm_muairss_read"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}, {""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-09-16 10:52:23+00:00","880352e","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-09-17 12:46:12+00:00","241f7dd","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-09-17 12:47:38+00:00","8f750dc","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-09-27 08:54:55+00:00","a2d9ea7","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-09-27 08:54:55+00:00","ff029e4","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-09-27 09:07:42+00:00","3293b09","[]"
"Jo-stfc","2021-09-27 09:07:42+00:00","63c289c","[]"
"Jo-stfc","2021-09-27 09:15:27+00:00","a431e96","[{""name"": ""pm_uep_opt_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-09-27 09:16:18+00:00","07cd438","[{""name"": ""pm_muairss_read"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-09-27 09:16:54+00:00","7661a7f","[{""name"": ""pm_yaml_config"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-09-27 09:21:50+00:00","f504ceb","[{""name"": ""pm_yaml_config"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-09-27 09:22:47+00:00","15f31b4","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-09-27 09:22:47+00:00","8e95944","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-09-27 09:23:28+00:00","b9fb579","[{""name"": ""pm_uep_opt_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-09-27 09:29:28+00:00","4ce7ec6","[{""name"": ""pm_muairss_read"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-09-27 10:03:07+00:00","75b3cfc","[{""name"": ""pm_yaml_config"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-06 14:20:38+00:00","c6abbbe","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-06 14:20:38+00:00","de7ade0","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-06 14:24:11+00:00","4fcda5a","[{""name"": ""pm_yaml_config"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-13 14:15:17+00:00","9279a49","[{""name"": ""pm_uep_opt_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-13 14:16:48+00:00","3ce6de5","[{""name"": ""pm_uep_opt_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-13 14:18:50+00:00","1be99fe","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-13 14:18:50+00:00","b42aa8c","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-13 14:22:33+00:00","364c31b","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-13 14:22:33+00:00","d322ea4","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-13 14:24:18+00:00","23e35f5","[{""name"": ""pm_muairss_read"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-13 14:43:53+00:00","e12665a","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-13 14:43:53+00:00","f95a885","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-13 14:44:14+00:00","1274898","[{""name"": ""pm_muairss_read"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-14 09:58:00+00:00","b9c243a","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-14 09:58:00+00:00","c01f1ff","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-14 09:58:14+00:00","f29589c","[{""name"": ""pm_muairss_read"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-14 09:58:39+00:00","e9ad692","[{""name"": ""pm_uep_opt_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-15 09:35:36+00:00","9cbda1b","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-15 09:35:36+00:00","b2ae012","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-15 09:35:50+00:00","9f973c3","[{""name"": ""pm_muairss_read"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-15 09:35:59+00:00","33f7e64","[{""name"": ""pm_uep_opt_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-15 10:40:55+00:00","017ec96","[]"
"Jo-stfc","2021-10-15 10:40:55+00:00","4b24581","[]"
"Jo-stfc","2021-10-15 10:41:24+00:00","60089df","[{""name"": ""pm_uep_opt_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-29 09:07:54+00:00","b8d0202","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-29 09:07:54+00:00","f2ce1f4","[{""name"": ""pm_muairss_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-29 09:08:21+00:00","dfac332","[{""name"": ""pm_muairss_read"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-29 09:08:26+00:00","4023d44","[{""name"": ""pm_uep_opt_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-29 09:08:31+00:00","0c8161f","[{""name"": ""pm_yaml_config"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-29 09:27:47+00:00","5207257","[{""name"": ""pm_muairss_read"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-29 09:34:52+00:00","19cb83e","[{""name"": ""pm_dftb_opt_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-29 09:34:52+00:00","a8be9c2","[{""name"": ""pm_dftb_opt_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-29 10:03:24+00:00","e3ec267","[{""name"": ""pm_yaml_config"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-29 14:56:18+00:00","9b4f71a","[{""name"": ""pm_dftb_opt_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-29 14:56:18+00:00","f348699","[{""name"": ""pm_dftb_opt_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
"Jo-stfc","2021-10-29 15:05:09+00:00","6c20869","[{""name"": ""pm_dftb_opt_write"", ""categories"": [""Computational chemistry"", ""Molecular Dynamics""]}]"
