"author","timestamp","sha","tools"
"Takadonet","2015-11-13 15:44:58+00:00","136f978","[]"
"Takadonet","2015-11-13 15:46:41+00:00","5b134e2","[{""name"": ""package_spades_3_6_1"", ""categories"": [""Tool Dependency Packages""]}]"
"Takadonet","2015-11-13 15:48:10+00:00","544a448","[{""name"": ""spades"", ""categories"": [""Assembly""]}]"
"Takadonet","2015-11-13 15:59:30+00:00","96d1cda","[{""name"": ""spades"", ""categories"": [""Assembly""]}]"
"Takadonet","2015-11-13 18:03:04+00:00","90bf9fa","[{""name"": ""spades"", ""categories"": [""Assembly""]}]"
"Takadonet","2015-11-13 19:42:46+00:00","a6c1487","[]"
"Takadonet","2015-11-13 19:47:10+00:00","fd79cbf","[]"
"Takadonet","2015-11-13 19:51:41+00:00","4e5b37c","[]"
"Takadonet","2015-11-13 21:23:54+00:00","26e0a7d","[]"
"Takadonet","2015-11-16 15:44:23+00:00","1a9efa6","[]"
"Takadonet","2015-11-16 15:44:52+00:00","c2d8289","[]"
"Takadonet","2015-11-16 16:00:35+00:00","32a5791","[]"
"Takadonet","2015-11-16 16:54:29+00:00","27405be","[]"
"Takadonet","2015-11-19 15:17:05+00:00","fcca767","[{""name"": ""package_spades_3_6_2"", ""categories"": [""Tool Dependency Packages""]}]"
"Takadonet","2015-11-19 19:41:46+00:00","974c87c","[]"
"Takadonet","2015-11-20 15:18:16+00:00","266ac4c","[{""name"": ""package_spades_3_6_2"", ""categories"": [""Tool Dependency Packages""]}]"
"Takadonet","2015-11-20 15:20:13+00:00","14bb49c","[]"
"Takadonet","2015-11-20 15:22:58+00:00","75c510c","[{""name"": ""bundle_collections"", ""categories"": [""Sequence Analysis""]}]"
"Takadonet","2015-11-20 15:36:28+00:00","431df7f","[{""name"": ""package_spades_3_6_1"", ""categories"": [""Tool Dependency Packages""]}]"
"markiskander","2015-12-02 20:18:23+00:00","305f6c2","[{""name"": ""package_srst2_0_1_4_5"", ""categories"": [""Tool Dependency Packages""]}, {""name"": ""srst2"", ""categories"": [""Sequence Analysis""]}]"
"markiskander","2015-12-02 20:41:33+00:00","8f36918","[{""name"": ""srst2"", ""categories"": [""Sequence Analysis""]}]"
"markiskander","2015-12-02 20:47:53+00:00","d73c279","[]"
"markiskander","2015-12-02 21:09:18+00:00","5ae987b","[{""name"": ""bundle_collections"", ""categories"": [""Sequence Analysis""]}]"
"markiskander","2015-12-02 21:20:07+00:00","725dc6a","[{""name"": ""srst2"", ""categories"": [""Sequence Analysis""]}]"
